Module, area (um^2),dynamic (uW),leakage (uW)
AdderTree9_1,200.233442,0.34057940000000003,0.2261497
AdderTree64_1,1932.887484,2.449,1.628
AdderTree128_1,3768.778235,4.9027,3.26
AdderTree144_1,4437.293811,5.7984,3.8334
BufferDoubleNoAcc,276.705902,0.4845157,0.2815115
BufferDouble1_10,404.21755,0.46151089999999995,0.356251
BufferDouble4_14,562.503701,0.6643141000000001,0.49765889999999996
BufferDouble7_17,696.163546,0.8235461000000001,0.6272101
BufferDouble8_18,740.356355,0.8793841,0.6752797
BufferLoad,106.907547,0.2394995,0.1261115
CntShareArray16,537.96945,0.4990378,0.6304437
CntShareArray32,1054.346273,0.5277418,0.7383474999999999
CntShareArray64,1954.2177759999997,0.8174698,1.319
CntShareArray128,3758.296409,1.396,2.4831
CntShareArray256,7378.010145,3.325,4.8759
CntShareArray512,14592.88799,5.5918,9.4836
CntShareArray1024,29059.584591,9.5691,18.8007
Cmp,60.032294,0.03987400000000001,0.0537399
FSUAdd3,28.716649,0.0533863,0.031336
FSUAdd320,10209.98352,12.9385,8.8787
FSUSigmoid,20.009882,0.038847299999999994,0.0200133
Inverter,8.800504,0.022675999999999998,0.0119294
MulDecomp,20.791729,0.047308,0.024483799999999997
MulXNOR,11.932982,0.024261,0.0132896
RELU14_10,128.21786,0.239219,0.1406452
TANH17_10,127.765425,0.2373232,0.1529043
RELU18_10,128.762587,0.2405951,0.1585697
RngShareArray2,493.32834700000006,0.7206778,0.4360961
RngShareArray4,539.791567,0.7235023,0.49173140000000004
RngShareArray8,609.099407,0.7295195,0.5870550999999999
RngShareArray16,825.999363,0.7413173,0.6682828
RngShareArray32,1284.833053,0.7721520000000001,0.9045263
RngShareArray64,2184.497465,1.0502,1.4854
RngShareArray128,3987.4468039999997,1.6061,2.6534
RngShareArray256,7610.86582,2.7144,4.9917
RngShareArray512,14835.453286,5.4506,9.6688
RngShareArray1024,29293.053635,9.3695,18.9773
ShiftReg128,1165.820927,2.856,1.1796
SobolRngDim1,300.136124,0.4032942,0.25674650000000004
