Layer,	Type,	Cycle Total (Cycles),	Time Total (Secs),	Throughput (Frames/sec)	
Conv1_0,	GEMM,	358.0,	8.370353051204114e-06,	119469.27374301678,	
Conv2_0,	GEMM,	4704.0,	0.00010998363338788871,	9092.261904761905,	
Conv1_1,	GEMM,	358.0,	8.370353051204114e-06,	119469.27374301678,	
Conv2_1,	GEMM,	4704.0,	0.00010998363338788871,	9092.261904761905,	
Conv1_2,	GEMM,	358.0,	8.370353051204114e-06,	119469.27374301678,	
Conv2_2,	GEMM,	4704.0,	0.00010998363338788871,	9092.261904761905,	
Conv1_3,	GEMM,	358.0,	8.370353051204114e-06,	119469.27374301678,	
Conv2_3,	GEMM,	4704.0,	0.00010998363338788871,	9092.261904761905,	
Conv1_4,	GEMM,	358.0,	8.370353051204114e-06,	119469.27374301678,	
Conv2_4,	GEMM,	4704.0,	0.00010998363338788871,	9092.261904761905,	
Conv1_5,	GEMM,	358.0,	8.370353051204114e-06,	119469.27374301678,	
Conv2_5,	GEMM,	4704.0,	0.00010998363338788871,	9092.261904761905,	
Conv1_6,	GEMM,	358.0,	8.370353051204114e-06,	119469.27374301678,	
Conv2_6,	GEMM,	4704.0,	0.00010998363338788871,	9092.261904761905,	
Conv1_7,	GEMM,	358.0,	8.370353051204114e-06,	119469.27374301678,	
Conv2_7,	GEMM,	4704.0,	0.00010998363338788871,	9092.261904761905,	
Conv1_8,	GEMM,	358.0,	8.370353051204114e-06,	119469.27374301678,	
Conv2_8,	GEMM,	4704.0,	0.00010998363338788871,	9092.261904761905,	
Conv1_9,	GEMM,	358.0,	8.370353051204114e-06,	119469.27374301678,	
Conv2_9,	GEMM,	4704.0,	0.00010998363338788871,	9092.261904761905,	
FC3_0,	GEMM,	10482.0,	0.0002450783259293898,	4080.328181644724,	
FC3_1,	GEMM,	10482.0,	0.0002450783259293898,	4080.328181644724,	
FC3_2,	GEMM,	10482.0,	0.0002450783259293898,	4080.328181644724,	
FC3_3,	GEMM,	10482.0,	0.0002450783259293898,	4080.328181644724,	
FC3_4,	GEMM,	10482.0,	0.0002450783259293898,	4080.328181644724,	
FC3_5,	GEMM,	10482.0,	0.0002450783259293898,	4080.328181644724,	
FC3_6,	GEMM,	10482.0,	0.0002450783259293898,	4080.328181644724,	
FC3_7,	GEMM,	10482.0,	0.0002450783259293898,	4080.328181644724,	
FC3_8,	GEMM,	10482.0,	0.0002450783259293898,	4080.328181644724,	
FC3_9,	GEMM,	10482.0,	0.0002450783259293898,	4080.328181644724,	
RNN4_FG_0,	GEMM,	7631.0,	0.000178419452887538,	5604.770017035775,	
RNN4_NG_0,	GEMM,	7631.0,	0.000178419452887538,	5604.770017035775,	
RNN4_ptwise1_0,	GEMM,	149.0,	3.4837502922609303e-06,	287046.97986577183,	
RNN4_ptwise2_0,	GEMM,	149.0,	3.4837502922609303e-06,	287046.97986577183,	
RNN4_FG_1,	GEMM,	7631.0,	0.000178419452887538,	5604.770017035775,	
RNN4_NG_1,	GEMM,	7631.0,	0.000178419452887538,	5604.770017035775,	
RNN4_ptwise1_1,	GEMM,	149.0,	3.4837502922609303e-06,	287046.97986577183,	
RNN4_ptwise2_1,	GEMM,	149.0,	3.4837502922609303e-06,	287046.97986577183,	
