Layer,	Type,	Cycle Total (Cycles),	Time Total (Secs),	Throughput (Frames/sec),	
Conv1_0,	GEMM,	358.0,	1.6736792893875645e-05,	59748.6033519553,	
Conv2_0,	GEMM,	4992.0,	0.00023338008415147265,	4284.8557692307695,	
Conv1_1,	GEMM,	358.0,	1.6736792893875645e-05,	59748.6033519553,	
Conv2_1,	GEMM,	4992.0,	0.00023338008415147265,	4284.8557692307695,	
Conv1_2,	GEMM,	358.0,	1.6736792893875645e-05,	59748.6033519553,	
Conv2_2,	GEMM,	4992.0,	0.00023338008415147265,	4284.8557692307695,	
Conv1_3,	GEMM,	358.0,	1.6736792893875645e-05,	59748.6033519553,	
Conv2_3,	GEMM,	4992.0,	0.00023338008415147265,	4284.8557692307695,	
Conv1_4,	GEMM,	358.0,	1.6736792893875645e-05,	59748.6033519553,	
Conv2_4,	GEMM,	4992.0,	0.00023338008415147265,	4284.8557692307695,	
Conv1_5,	GEMM,	358.0,	1.6736792893875645e-05,	59748.6033519553,	
Conv2_5,	GEMM,	4992.0,	0.00023338008415147265,	4284.8557692307695,	
Conv1_6,	GEMM,	358.0,	1.6736792893875645e-05,	59748.6033519553,	
Conv2_6,	GEMM,	4992.0,	0.00023338008415147265,	4284.8557692307695,	
Conv1_7,	GEMM,	358.0,	1.6736792893875645e-05,	59748.6033519553,	
Conv2_7,	GEMM,	4992.0,	0.00023338008415147265,	4284.8557692307695,	
Conv1_8,	GEMM,	358.0,	1.6736792893875645e-05,	59748.6033519553,	
Conv2_8,	GEMM,	4992.0,	0.00023338008415147265,	4284.8557692307695,	
Conv1_9,	GEMM,	358.0,	1.6736792893875645e-05,	59748.6033519553,	
Conv2_9,	GEMM,	4992.0,	0.00023338008415147265,	4284.8557692307695,	
FC3_0,	GEMM,	12462.0,	0.0005826086956521739,	1716.4179104477614,	
FC3_1,	GEMM,	12462.0,	0.0005826086956521739,	1716.4179104477614,	
FC3_2,	GEMM,	12462.0,	0.0005826086956521739,	1716.4179104477614,	
FC3_3,	GEMM,	12462.0,	0.0005826086956521739,	1716.4179104477614,	
FC3_4,	GEMM,	12462.0,	0.0005826086956521739,	1716.4179104477614,	
FC3_5,	GEMM,	12462.0,	0.0005826086956521739,	1716.4179104477614,	
FC3_6,	GEMM,	12462.0,	0.0005826086956521739,	1716.4179104477614,	
FC3_7,	GEMM,	12462.0,	0.0005826086956521739,	1716.4179104477614,	
FC3_8,	GEMM,	12462.0,	0.0005826086956521739,	1716.4179104477614,	
FC3_9,	GEMM,	12462.0,	0.0005826086956521739,	1716.4179104477614,	
RNN4_FG_0,	GEMM,	7631.0,	0.00035675549322113136,	2803.0402306381866,	
RNN4_NG_0,	GEMM,	7631.0,	0.00035675549322113136,	2803.0402306381866,	
RNN4_ptwise1_0,	GEMM,	149.0,	6.965871902758298e-06,	143557.0469798658,	
RNN4_ptwise2_0,	GEMM,	149.0,	6.965871902758298e-06,	143557.0469798658,	
RNN4_FG_1,	GEMM,	7631.0,	0.00035675549322113136,	2803.0402306381866,	
RNN4_NG_1,	GEMM,	7631.0,	0.00035675549322113136,	2803.0402306381866,	
RNN4_ptwise1_1,	GEMM,	149.0,	6.965871902758298e-06,	143557.0469798658,	
RNN4_ptwise2_1,	GEMM,	149.0,	6.965871902758298e-06,	143557.0469798658,	
RNN4_FG_2,	GEMM,	7631.0,	0.00035675549322113136,	2803.0402306381866,	
RNN4_NG_2,	GEMM,	7631.0,	0.00035675549322113136,	2803.0402306381866,	
RNN4_ptwise1_2,	GEMM,	149.0,	6.965871902758298e-06,	143557.0469798658,	
RNN4_ptwise2_2,	GEMM,	149.0,	6.965871902758298e-06,	143557.0469798658,	
RNN4_FG_3,	GEMM,	7631.0,	0.00035675549322113136,	2803.0402306381866,	
RNN4_NG_3,	GEMM,	7631.0,	0.00035675549322113136,	2803.0402306381866,	
RNN4_ptwise1_3,	GEMM,	149.0,	6.965871902758298e-06,	143557.0469798658,	
RNN4_ptwise2_3,	GEMM,	149.0,	6.965871902758298e-06,	143557.0469798658,	
RNN4_FG_4,	GEMM,	7631.0,	0.00035675549322113136,	2803.0402306381866,	
RNN4_NG_4,	GEMM,	7631.0,	0.00035675549322113136,	2803.0402306381866,	
RNN4_ptwise1_4,	GEMM,	149.0,	6.965871902758298e-06,	143557.0469798658,	
RNN4_ptwise2_4,	GEMM,	149.0,	6.965871902758298e-06,	143557.0469798658,	
RNN4_FG_5,	GEMM,	7631.0,	0.00035675549322113136,	2803.0402306381866,	
RNN4_NG_5,	GEMM,	7631.0,	0.00035675549322113136,	2803.0402306381866,	
RNN4_ptwise1_5,	GEMM,	149.0,	6.965871902758298e-06,	143557.0469798658,	
RNN4_ptwise2_5,	GEMM,	149.0,	6.965871902758298e-06,	143557.0469798658,	
RNN4_FG_6,	GEMM,	7631.0,	0.00035675549322113136,	2803.0402306381866,	
