Layer,	Type,	Cycles,	% Utilization,
Conv1_0,	GEMM,	196,	44.82507288629738,
Conv2_0,	GEMM,	3840,	77.67857142857139,
Conv1_1,	GEMM,	196,	44.82507288629738,
Conv2_1,	GEMM,	3840,	77.67857142857139,
Conv1_2,	GEMM,	196,	44.82507288629738,
Conv2_2,	GEMM,	3840,	77.67857142857139,
Conv1_3,	GEMM,	196,	44.82507288629738,
Conv2_3,	GEMM,	3840,	77.67857142857139,
Conv1_4,	GEMM,	196,	44.82507288629738,
Conv2_4,	GEMM,	3840,	77.67857142857139,
Conv1_5,	GEMM,	196,	44.82507288629738,
Conv2_5,	GEMM,	3840,	77.67857142857139,
Conv1_6,	GEMM,	196,	44.82507288629738,
Conv2_6,	GEMM,	3840,	77.67857142857139,
Conv1_7,	GEMM,	196,	44.82507288629738,
Conv2_7,	GEMM,	3840,	77.67857142857139,
Conv1_8,	GEMM,	196,	44.82507288629738,
Conv2_8,	GEMM,	3840,	77.67857142857139,
Conv1_9,	GEMM,	196,	44.82507288629738,
Conv2_9,	GEMM,	3840,	77.67857142857139,
FC3_0,	GEMM,	6930,	93.07359307359316,
FC3_1,	GEMM,	6930,	93.07359307359316,
FC3_2,	GEMM,	6930,	93.07359307359316,
FC3_3,	GEMM,	6930,	93.07359307359316,
FC3_4,	GEMM,	6930,	93.07359307359316,
FC3_5,	GEMM,	6930,	93.07359307359316,
FC3_6,	GEMM,	6930,	93.07359307359316,
FC3_7,	GEMM,	6930,	93.07359307359316,
FC3_8,	GEMM,	6930,	93.07359307359316,
FC3_9,	GEMM,	6930,	93.07359307359316,
RNN4_FG_0,	GEMM,	5063,	91.61517263433137,
RNN4_NG_0,	GEMM,	5063,	91.61517263433137,
RNN4_ptwise1_0,	GEMM,	140,	6.802721088435374,
RNN4_ptwise2_0,	GEMM,	140,	6.802721088435374,
RNN4_FG_1,	GEMM,	5063,	91.61517263433137,
RNN4_NG_1,	GEMM,	5063,	91.61517263433137,
RNN4_ptwise1_1,	GEMM,	140,	6.802721088435374,
RNN4_ptwise2_1,	GEMM,	140,	6.802721088435374,
RNN4_FG_2,	GEMM,	5063,	91.61517263433137,
RNN4_NG_2,	GEMM,	5063,	91.61517263433137,
RNN4_ptwise1_2,	GEMM,	140,	6.802721088435374,
RNN4_ptwise2_2,	GEMM,	140,	6.802721088435374,
RNN4_FG_3,	GEMM,	5063,	91.61517263433137,
RNN4_NG_3,	GEMM,	5063,	91.61517263433137,
RNN4_ptwise1_3,	GEMM,	140,	6.802721088435374,
RNN4_ptwise2_3,	GEMM,	140,	6.802721088435374,
RNN4_FG_4,	GEMM,	5063,	91.61517263433137,
RNN4_NG_4,	GEMM,	5063,	91.61517263433137,
RNN4_ptwise1_4,	GEMM,	140,	6.802721088435374,
RNN4_ptwise2_4,	GEMM,	140,	6.802721088435374,
RNN4_FG_5,	GEMM,	5063,	91.61517263433137,
RNN4_NG_5,	GEMM,	5063,	91.61517263433137,
RNN4_ptwise1_5,	GEMM,	140,	6.802721088435374,
RNN4_ptwise2_5,	GEMM,	140,	6.802721088435374,
RNN4_FG_6,	GEMM,	5063,	91.61517263433137,
RNN4_NG_6,	GEMM,	5063,	91.61517263433137,
RNN4_ptwise1_6,	GEMM,	140,	6.802721088435374,
RNN4_ptwise2_6,	GEMM,	140,	6.802721088435374,
RNN4_FG_7,	GEMM,	5063,	91.61517263433137,
RNN4_NG_7,	GEMM,	5063,	91.61517263433137,
RNN4_ptwise1_7,	GEMM,	140,	6.802721088435374,
RNN4_ptwise2_7,	GEMM,	140,	6.802721088435374,
RNN4_FG_8,	GEMM,	5063,	91.61517263433137,
RNN4_NG_8,	GEMM,	5063,	91.61517263433137,
RNN4_ptwise1_8,	GEMM,	140,	6.802721088435374,
RNN4_ptwise2_8,	GEMM,	140,	6.802721088435374,
RNN4_FG_9,	GEMM,	5063,	91.61517263433137,
RNN4_NG_9,	GEMM,	5063,	91.61517263433137,
RNN4_ptwise1_9,	GEMM,	140,	6.802721088435374,
RNN4_ptwise2_9,	GEMM,	140,	6.802721088435374,
FC5,	GEMM,	164,	33.681765389082464,
FC6,	GEMM,	146,	13.568166992824526,
