Layer,	Type,	DRAM I RD BW (GBytes/sec),	DRAM F RD BW (GBytes/sec),	DRAM O RD BW (GBytes/sec),	DRAM O WR BW (GBytes/sec),	DRAM BW Total (GBytes/sec),	SRAM I RD BW (GBytes/sec),	SRAM F RD BW (GBytes/sec),	SRAM O RD BW (GBytes/sec),	SRAM O WR BW (GBytes/sec),	SRAM BW Total (GBytes/sec),	
Conv1_0,	GEMM,	0.011446422704771243,	0.01498440790442781,	0.0,	0.11987526323542248,	0.14630609384462154,	0.13485967113985028,	0.01498440790442781,	0.0,	0.11987526323542248,	0.26971934227970057,	
Conv2_0,	GEMM,	0.013938160980639812,	0.036492639658402416,	0.0,	0.018246319829201208,	0.06867712046824344,	0.24632531769421634,	0.036492639658402416,	0.20070951812121332,	0.2189558379504145,	0.7024833134242466,	
Conv1_1,	GEMM,	0.011446422704771243,	0.01498440790442781,	0.0,	0.11987526323542248,	0.14630609384462154,	0.13485967113985028,	0.01498440790442781,	0.0,	0.11987526323542248,	0.26971934227970057,	
Conv2_1,	GEMM,	0.013938160980639812,	0.036492639658402416,	0.0,	0.018246319829201208,	0.06867712046824344,	0.24632531769421634,	0.036492639658402416,	0.20070951812121332,	0.2189558379504145,	0.7024833134242466,	
Conv1_2,	GEMM,	0.011446422704771243,	0.01498440790442781,	0.0,	0.11987526323542248,	0.14630609384462154,	0.13485967113985028,	0.01498440790442781,	0.0,	0.11987526323542248,	0.26971934227970057,	
Conv2_2,	GEMM,	0.013938160980639812,	0.036492639658402416,	0.0,	0.018246319829201208,	0.06867712046824344,	0.24632531769421634,	0.036492639658402416,	0.20070951812121332,	0.2189558379504145,	0.7024833134242466,	
Conv1_3,	GEMM,	0.011446422704771243,	0.01498440790442781,	0.0,	0.11987526323542248,	0.14630609384462154,	0.13485967113985028,	0.01498440790442781,	0.0,	0.11987526323542248,	0.26971934227970057,	
Conv2_3,	GEMM,	0.013938160980639812,	0.036492639658402416,	0.0,	0.018246319829201208,	0.06867712046824344,	0.24632531769421634,	0.036492639658402416,	0.20070951812121332,	0.2189558379504145,	0.7024833134242466,	
Conv1_4,	GEMM,	0.011446422704771243,	0.01498440790442781,	0.0,	0.11987526323542248,	0.14630609384462154,	0.13485967113985028,	0.01498440790442781,	0.0,	0.11987526323542248,	0.26971934227970057,	
Conv2_4,	GEMM,	0.013938160980639812,	0.036492639658402416,	0.0,	0.018246319829201208,	0.06867712046824344,	0.24632531769421634,	0.036492639658402416,	0.20070951812121332,	0.2189558379504145,	0.7024833134242466,	
