Layer,	Type,	DRAM I RD BW (GBytes/sec),	DRAM F RD BW (GBytes/sec),	DRAM O RD BW (GBytes/sec),	DRAM O WR BW (GBytes/sec),	DRAM BW Total (GBytes/sec),	SRAM I RD BW (GBytes/sec),	SRAM F RD BW (GBytes/sec),	SRAM O RD BW (GBytes/sec),	SRAM O WR BW (GBytes/sec),	SRAM BW Total (GBytes/sec),	
Conv1_0,	GEMM,	0.0015309590367631536,	0.002004164557217219,	0.0,	0.016033316457737753,	0.019568440051718126,	0.018037481014954972,	0.002004164557217219,	0.0,	0.016033316457737753,	0.036074962029909945,	
Conv2_0,	GEMM,	0.0017566773562859264,	0.004599300714639517,	0.0,	0.0022996503573197583,	0.008655628428245202,	0.03104527982381674,	0.004599300714639517,	0.025296153930517342,	0.0275958042878371,	0.0885365387568107,	
Conv1_1,	GEMM,	0.0015309590367631536,	0.002004164557217219,	0.0,	0.016033316457737753,	0.019568440051718126,	0.018037481014954972,	0.002004164557217219,	0.0,	0.016033316457737753,	0.036074962029909945,	
Conv2_1,	GEMM,	0.0017566773562859264,	0.004599300714639517,	0.0,	0.0022996503573197583,	0.008655628428245202,	0.03104527982381674,	0.004599300714639517,	0.025296153930517342,	0.0275958042878371,	0.0885365387568107,	
Conv1_2,	GEMM,	0.0015309590367631536,	0.002004164557217219,	0.0,	0.016033316457737753,	0.019568440051718126,	0.018037481014954972,	0.002004164557217219,	0.0,	0.016033316457737753,	0.036074962029909945,	
Conv2_2,	GEMM,	0.0017566773562859264,	0.004599300714639517,	0.0,	0.0022996503573197583,	0.008655628428245202,	0.03104527982381674,	0.004599300714639517,	0.025296153930517342,	0.0275958042878371,	0.0885365387568107,	
Conv1_3,	GEMM,	0.0015309590367631536,	0.002004164557217219,	0.0,	0.016033316457737753,	0.019568440051718126,	0.018037481014954972,	0.002004164557217219,	0.0,	0.016033316457737753,	0.036074962029909945,	
Conv2_3,	GEMM,	0.0017566773562859264,	0.004599300714639517,	0.0,	0.0022996503573197583,	0.008655628428245202,	0.03104527982381674,	0.004599300714639517,	0.025296153930517342,	0.0275958042878371,	0.0885365387568107,	
Conv1_4,	GEMM,	0.0015309590367631536,	0.002004164557217219,	0.0,	0.016033316457737753,	0.019568440051718126,	0.018037481014954972,	0.002004164557217219,	0.0,	0.016033316457737753,	0.036074962029909945,	
Conv2_4,	GEMM,	0.0017566773562859264,	0.004599300714639517,	0.0,	0.0022996503573197583,	0.008655628428245202,	0.03104527982381674,	0.004599300714639517,	0.025296153930517342,	0.0275958042878371,	0.0885365387568107,	
Conv1_5,	GEMM,	0.0015309590367631536,	0.002004164557217219,	0.0,	0.016033316457737753,	0.019568440051718126,	0.018037481014954972,	0.002004164557217219,	0.0,	0.016033316457737753,	0.036074962029909945,	
Conv2_5,	GEMM,	0.0017566773562859264,	0.004599300714639517,	0.0,	0.0022996503573197583,	0.008655628428245202,	0.03104527982381674,	0.004599300714639517,	0.025296153930517342,	0.0275958042878371,	0.0885365387568107,	
Conv1_6,	GEMM,	0.0015309590367631536,	0.002004164557217219,	0.0,	0.016033316457737753,	0.019568440051718126,	0.018037481014954972,	0.002004164557217219,	0.0,	0.016033316457737753,	0.036074962029909945,	
Conv2_6,	GEMM,	0.0017566773562859264,	0.004599300714639517,	0.0,	0.0022996503573197583,	0.008655628428245202,	0.03104527982381674,	0.004599300714639517,	0.025296153930517342,	0.0275958042878371,	0.0885365387568107,	
Conv1_7,	GEMM,	0.0015309590367631536,	0.002004164557217219,	0.0,	0.016033316457737753,	0.019568440051718126,	0.018037481014954972,	0.002004164557217219,	0.0,	0.016033316457737753,	0.036074962029909945,	
Conv2_7,	GEMM,	0.0017566773562859264,	0.004599300714639517,	0.0,	0.0022996503573197583,	0.008655628428245202,	0.03104527982381674,	0.004599300714639517,	0.025296153930517342,	0.0275958042878371,	0.0885365387568107,	
Conv1_8,	GEMM,	0.0015309590367631536,	0.002004164557217219,	0.0,	0.016033316457737753,	0.019568440051718126,	0.018037481014954972,	0.002004164557217219,	0.0,	0.016033316457737753,	0.036074962029909945,	
Conv2_8,	GEMM,	0.0017566773562859264,	0.004599300714639517,	0.0,	0.0022996503573197583,	0.008655628428245202,	0.03104527982381674,	0.004599300714639517,	0.025296153930517342,	0.0275958042878371,	0.0885365387568107,	
Conv1_9,	GEMM,	0.0015309590367631536,	0.002004164557217219,	0.0,	0.016033316457737753,	0.019568440051718126,	0.018037481014954972,	0.002004164557217219,	0.0,	0.016033316457737753,	0.036074962029909945,	
Conv2_9,	GEMM,	0.0017566773562859264,	0.004599300714639517,	0.0,	0.0022996503573197583,	0.008655628428245202,	0.03104527982381674,	0.004599300714639517,	0.025296153930517342,	0.0275958042878371,	0.0885365387568107,	
FC3_0,	GEMM,	4.398036712896879e-05,	0.01125897398501601,	0.0,	0.000102354308954691,	0.01140530866109967,	0.000835626975450407,	0.01125897398501601,	0.000921188780592219,	0.00102354308954691,	0.014039332830605546,	
FC3_1,	GEMM,	4.398036712896879e-05,	0.01125897398501601,	0.0,	0.000102354308954691,	0.01140530866109967,	0.000835626975450407,	0.01125897398501601,	0.000921188780592219,	0.00102354308954691,	0.014039332830605546,	
FC3_2,	GEMM,	4.398036712896879e-05,	0.01125897398501601,	0.0,	0.000102354308954691,	0.01140530866109967,	0.000835626975450407,	0.01125897398501601,	0.000921188780592219,	0.00102354308954691,	0.014039332830605546,	
FC3_3,	GEMM,	4.398036712896879e-05,	0.01125897398501601,	0.0,	0.000102354308954691,	0.01140530866109967,	0.000835626975450407,	0.01125897398501601,	0.000921188780592219,	0.00102354308954691,	0.014039332830605546,	
FC3_4,	GEMM,	4.398036712896879e-05,	0.01125897398501601,	0.0,	0.000102354308954691,	0.01140530866109967,	0.000835626975450407,	0.01125897398501601,	0.000921188780592219,	0.00102354308954691,	0.014039332830605546,	
FC3_5,	GEMM,	4.398036712896879e-05,	0.01125897398501601,	0.0,	0.000102354308954691,	0.01140530866109967,	0.000835626975450407,	0.01125897398501601,	0.000921188780592219,	0.00102354308954691,	0.014039332830605546,	
FC3_6,	GEMM,	4.398036712896879e-05,	0.01125897398501601,	0.0,	0.000102354308954691,	0.01140530866109967,	0.000835626975450407,	0.01125897398501601,	0.000921188780592219,	0.00102354308954691,	0.014039332830605546,	
FC3_7,	GEMM,	4.398036712896879e-05,	0.01125897398501601,	0.0,	0.000102354308954691,	0.01140530866109967,	0.000835626975450407,	0.01125897398501601,	0.000921188780592219,	0.00102354308954691,	0.014039332830605546,	
FC3_8,	GEMM,	4.398036712896879e-05,	0.01125897398501601,	0.0,	0.000102354308954691,	0.01140530866109967,	0.000835626975450407,	0.01125897398501601,	0.000921188780592219,	0.00102354308954691,	0.014039332830605546,	
FC3_9,	GEMM,	4.398036712896879e-05,	0.01125897398501601,	0.0,	0.000102354308954691,	0.01140530866109967,	0.000835626975450407,	0.01125897398501601,	0.000921188780592219,	0.00102354308954691,	0.014039332830605546,	
RNN4_FG_0,	GEMM,	0.00020894040725222106,	0.013372186064142148,	0.0,	4.1788081450444215e-05,	0.013622914552844813,	0.0010447020362611052,	0.013372186064142148,	0.0010864901177115496,	0.0011282781991619937,	0.016631656417276795,	
RNN4_NG_0,	GEMM,	0.00020894040725222106,	0.013372186064142148,	0.0,	4.1788081450444215e-05,	0.013622914552844813,	0.0010447020362611052,	0.013372186064142148,	0.0010864901177115496,	0.0011282781991619937,	0.016631656417276795,	
RNN4_ptwise1_0,	GEMM,	0.0021401667754922136,	0.0021401667754922136,	0.0,	3.344010586706584e-05,	0.004313773656851493,	0.0021401667754922136,	0.0021401667754922136,	0.0001672005293353292,	0.00020064063520239503,	0.004648174715522152,	
RNN4_ptwise2_0,	GEMM,	0.0021401667754922136,	0.0021401667754922136,	0.0,	3.344010586706584e-05,	0.004313773656851493,	0.0021401667754922136,	0.0021401667754922136,	0.0001672005293353292,	0.00020064063520239503,	0.004648174715522152,	
RNN4_FG_1,	GEMM,	0.00020894040725222106,	0.013372186064142148,	0.0,	4.1788081450444215e-05,	0.013622914552844813,	0.0010447020362611052,	0.013372186064142148,	0.0010864901177115496,	0.0011282781991619937,	0.016631656417276795,	
RNN4_NG_1,	GEMM,	0.00020894040725222106,	0.013372186064142148,	0.0,	4.1788081450444215e-05,	0.013622914552844813,	0.0010447020362611052,	0.013372186064142148,	0.0010864901177115496,	0.0011282781991619937,	0.016631656417276795,	
