Layer,	Type,	DRAM I RD start,	DRAM I RD stop,	DRAM I RD bytes,	DRAM F RD start,	DRAM F RD stop,	DRAM F RD bytes,	DRAM O RD start,	DRAM O RD stop,	DRAM O RD bytes,	DRAM O WR start,	DRAM O WR stop,	DRAM O WR bytes,	SRAM I RD start,	SRAM I RD stop,	SRAM I RD bytes,	SRAM F RD start,	SRAM F RD stop,	SRAM F RD bytes,	SRAM O RD start,	SRAM O RD stop,	SRAM O RD bytes,	SRAM O WR start,	SRAM O WR stop,	SRAM O WR bytes,	
Conv1_0,	GEMM,	-14.0,	-1.0,	110.0,	-18.0,	-1.0,	144.0,	0,	0,	0.0,	196.0,	339.0,	1152.0,	0.0,	192.0,	1296.0,	0.0,	192.0,	144.0,	0.0,	192.0,	0.0,	19.0,	195.0,	1152.0,	
Conv2_0,	GEMM,	-220.0,	-1.0,	1760.0,	-576.0,	-1.0,	4608.0,	0,	0,	0.0,	3840.0,	4127.0,	2304.0,	0.0,	3838.0,	31104.0,	0.0,	3838.0,	4608.0,	0.0,	3838.0,	25344.0,	25.0,	3839.0,	27648.0,	
Conv1_1,	GEMM,	-14.0,	-1.0,	110.0,	-18.0,	-1.0,	144.0,	0,	0,	0.0,	196.0,	339.0,	1152.0,	0.0,	192.0,	1296.0,	0.0,	192.0,	144.0,	0.0,	192.0,	0.0,	19.0,	195.0,	1152.0,	
Conv2_1,	GEMM,	-220.0,	-1.0,	1760.0,	-576.0,	-1.0,	4608.0,	0,	0,	0.0,	3840.0,	4127.0,	2304.0,	0.0,	3838.0,	31104.0,	0.0,	3838.0,	4608.0,	0.0,	3838.0,	25344.0,	25.0,	3839.0,	27648.0,	
Conv1_2,	GEMM,	-14.0,	-1.0,	110.0,	-18.0,	-1.0,	144.0,	0,	0,	0.0,	196.0,	339.0,	1152.0,	0.0,	192.0,	1296.0,	0.0,	192.0,	144.0,	0.0,	192.0,	0.0,	19.0,	195.0,	1152.0,	
Conv2_2,	GEMM,	-220.0,	-1.0,	1760.0,	-576.0,	-1.0,	4608.0,	0,	0,	0.0,	3840.0,	4127.0,	2304.0,	0.0,	3838.0,	31104.0,	0.0,	3838.0,	4608.0,	0.0,	3838.0,	25344.0,	25.0,	3839.0,	27648.0,	
Conv1_3,	GEMM,	-14.0,	-1.0,	110.0,	-18.0,	-1.0,	144.0,	0,	0,	0.0,	196.0,	339.0,	1152.0,	0.0,	192.0,	1296.0,	0.0,	192.0,	144.0,	0.0,	192.0,	0.0,	19.0,	195.0,	1152.0,	
Conv2_3,	GEMM,	-220.0,	-1.0,	1760.0,	-576.0,	-1.0,	4608.0,	0,	0,	0.0,	3840.0,	4127.0,	2304.0,	0.0,	3838.0,	31104.0,	0.0,	3838.0,	4608.0,	0.0,	3838.0,	25344.0,	25.0,	3839.0,	27648.0,	
Conv1_4,	GEMM,	-14.0,	-1.0,	110.0,	-18.0,	-1.0,	144.0,	0,	0,	0.0,	196.0,	339.0,	1152.0,	0.0,	192.0,	1296.0,	0.0,	192.0,	144.0,	0.0,	192.0,	0.0,	19.0,	195.0,	1152.0,	
Conv2_4,	GEMM,	-220.0,	-1.0,	1760.0,	-576.0,	-1.0,	4608.0,	0,	0,	0.0,	3840.0,	4127.0,	2304.0,	0.0,	3838.0,	31104.0,	0.0,	3838.0,	4608.0,	0.0,	3838.0,	25344.0,	25.0,	3839.0,	27648.0,	
Conv1_5,	GEMM,	-14.0,	-1.0,	110.0,	-18.0,	-1.0,	144.0,	0,	0,	0.0,	196.0,	339.0,	1152.0,	0.0,	192.0,	1296.0,	0.0,	192.0,	144.0,	0.0,	192.0,	0.0,	19.0,	195.0,	1152.0,	
Conv2_5,	GEMM,	-220.0,	-1.0,	1760.0,	-576.0,	-1.0,	4608.0,	0,	0,	0.0,	3840.0,	4127.0,	2304.0,	0.0,	3838.0,	31104.0,	0.0,	3838.0,	4608.0,	0.0,	3838.0,	25344.0,	25.0,	3839.0,	27648.0,	
Conv1_6,	GEMM,	-14.0,	-1.0,	110.0,	-18.0,	-1.0,	144.0,	0,	0,	0.0,	196.0,	339.0,	1152.0,	0.0,	192.0,	1296.0,	0.0,	192.0,	144.0,	0.0,	192.0,	0.0,	19.0,	195.0,	1152.0,	
Conv2_6,	GEMM,	-220.0,	-1.0,	1760.0,	-576.0,	-1.0,	4608.0,	0,	0,	0.0,	3840.0,	4127.0,	2304.0,	0.0,	3838.0,	31104.0,	0.0,	3838.0,	4608.0,	0.0,	3838.0,	25344.0,	25.0,	3839.0,	27648.0,	
Conv1_7,	GEMM,	-14.0,	-1.0,	110.0,	-18.0,	-1.0,	144.0,	0,	0,	0.0,	196.0,	339.0,	1152.0,	0.0,	192.0,	1296.0,	0.0,	192.0,	144.0,	0.0,	192.0,	0.0,	19.0,	195.0,	1152.0,	
Conv2_7,	GEMM,	-220.0,	-1.0,	1760.0,	-576.0,	-1.0,	4608.0,	0,	0,	0.0,	3840.0,	4127.0,	2304.0,	0.0,	3838.0,	31104.0,	0.0,	3838.0,	4608.0,	0.0,	3838.0,	25344.0,	25.0,	3839.0,	27648.0,	
Conv1_8,	GEMM,	-14.0,	-1.0,	110.0,	-18.0,	-1.0,	144.0,	0,	0,	0.0,	196.0,	339.0,	1152.0,	0.0,	192.0,	1296.0,	0.0,	192.0,	144.0,	0.0,	192.0,	0.0,	19.0,	195.0,	1152.0,	
Conv2_8,	GEMM,	-220.0,	-1.0,	1760.0,	-576.0,	-1.0,	4608.0,	0,	0,	0.0,	3840.0,	4127.0,	2304.0,	0.0,	3838.0,	31104.0,	0.0,	3838.0,	4608.0,	0.0,	3838.0,	25344.0,	25.0,	3839.0,	27648.0,	
Conv1_9,	GEMM,	-14.0,	-1.0,	110.0,	-18.0,	-1.0,	144.0,	0,	0,	0.0,	196.0,	339.0,	1152.0,	0.0,	192.0,	1296.0,	0.0,	192.0,	144.0,	0.0,	192.0,	0.0,	19.0,	195.0,	1152.0,	
Conv2_9,	GEMM,	-220.0,	-1.0,	1760.0,	-576.0,	-1.0,	4608.0,	0,	0,	0.0,	3840.0,	4127.0,	2304.0,	0.0,	3838.0,	31104.0,	0.0,	3838.0,	4608.0,	0.0,	3838.0,	25344.0,	25.0,	3839.0,	27648.0,	
FC3_0,	GEMM,	-440.0,	-1.0,	3520.0,	-8192.0,	194997.0,	901120.0,	0,	0,	0.0,	214610.0,	214641.0,	256.0,	0.0,	214608.0,	66880.0,	0.0,	214608.0,	901120.0,	0.0,	214608.0,	75008.0,	25.0,	214609.0,	75264.0,	
FC3_1,	GEMM,	-440.0,	-1.0,	3520.0,	-8192.0,	194997.0,	901120.0,	0,	0,	0.0,	214610.0,	214641.0,	256.0,	0.0,	214608.0,	66880.0,	0.0,	214608.0,	901120.0,	0.0,	214608.0,	75008.0,	25.0,	214609.0,	75264.0,	
FC3_2,	GEMM,	-440.0,	-1.0,	3520.0,	-8192.0,	194997.0,	901120.0,	0,	0,	0.0,	214610.0,	214641.0,	256.0,	0.0,	214608.0,	66880.0,	0.0,	214608.0,	901120.0,	0.0,	214608.0,	75008.0,	25.0,	214609.0,	75264.0,	
FC3_3,	GEMM,	-440.0,	-1.0,	3520.0,	-8192.0,	194997.0,	901120.0,	0,	0,	0.0,	214610.0,	214641.0,	256.0,	0.0,	214608.0,	66880.0,	0.0,	214608.0,	901120.0,	0.0,	214608.0,	75008.0,	25.0,	214609.0,	75264.0,	
FC3_4,	GEMM,	-440.0,	-1.0,	3520.0,	-8192.0,	194997.0,	901120.0,	0,	0,	0.0,	214610.0,	214641.0,	256.0,	0.0,	214608.0,	66880.0,	0.0,	214608.0,	901120.0,	0.0,	214608.0,	75008.0,	25.0,	214609.0,	75264.0,	
FC3_5,	GEMM,	-440.0,	-1.0,	3520.0,	-8192.0,	194997.0,	901120.0,	0,	0,	0.0,	214610.0,	214641.0,	256.0,	0.0,	214608.0,	66880.0,	0.0,	214608.0,	901120.0,	0.0,	214608.0,	75008.0,	25.0,	214609.0,	75264.0,	
FC3_6,	GEMM,	-440.0,	-1.0,	3520.0,	-8192.0,	194997.0,	901120.0,	0,	0,	0.0,	214610.0,	214641.0,	256.0,	0.0,	214608.0,	66880.0,	0.0,	214608.0,	901120.0,	0.0,	214608.0,	75008.0,	25.0,	214609.0,	75264.0,	
FC3_7,	GEMM,	-440.0,	-1.0,	3520.0,	-8192.0,	194997.0,	901120.0,	0,	0,	0.0,	214610.0,	214641.0,	256.0,	0.0,	214608.0,	66880.0,	0.0,	214608.0,	901120.0,	0.0,	214608.0,	75008.0,	25.0,	214609.0,	75264.0,	
FC3_8,	GEMM,	-440.0,	-1.0,	3520.0,	-8192.0,	194997.0,	901120.0,	0,	0,	0.0,	214610.0,	214641.0,	256.0,	0.0,	214608.0,	66880.0,	0.0,	214608.0,	901120.0,	0.0,	214608.0,	75008.0,	25.0,	214609.0,	75264.0,	
