Layer,	Type,	DRAM I RD (D) (nJ),	DRAM F RD (D) (nJ),	DRAM O RD (D) (nJ),	DRAM O WR (D) (nJ),	DRAM Total (D) (nJ),	SRAM I RD (D) (nJ),	SRAM F RD (D) (nJ),	SRAM O RD (D) (nJ),	SRAM O WR (D) (nJ),	SRAM Total (D) (nJ),	SRAM I (L) (nJ),	SRAM F (L) (nJ),	SRAM O (L) (nJ),	SRAM Total (L) (nJ),	SRAM Total (D+L) (nJ),	IREG (D) (nJ),	IREG (L) (nJ),	IREG Total (D+L) (nJ),	WREG (D) (nJ),	WREG (L) (nJ),	WREG Total (D+L) (nJ),	MUL (D) (nJ),	MUL (L) (nJ),	MUL Total (D+L) (nJ),	ACC (D) (nJ),	ACC (L) (nJ),	ACC Total (D+L) (nJ),	Systolic Array Total (D) (nJ),	Systolic Array Total (L) (nJ),	Systolic Array Total (D+L) (nJ),	System Total (D) (nJ),	System Total (L) (nJ),	System Total (D+L) (nJ)	
Conv1_0,	GEMM,	65.9012587,	84.6470587,	0.0,	660.3380774,	810.8863948,	8.0626804,	1.3907943,	0.0,	18.486498599999997,	27.9399733,	4990.712316261682,	4990.712316261682,	4990.712316261682,	14972.136948785046,	15000.076922085045,	0.5019417358771531,	39.83707630073931,	40.339018036616466,	0.056468445286179725,	39.83707630073931,	39.89354474602549,	2.968378824467361,	181.7892858139211,	184.75766463838846,	2.0078977037783337,	253.37067373413313,	255.37857143791146,	5.534686709409028,	514.8341121495329,	520.3687988589419,	844.361054809409,	15486.971060934578,	16331.332115743988,	
Conv2_0,	GEMM,	1031.6009174,	2700.8499935,	0.0,	1320.3851961,	5052.836107,	481.0771769,	202.897368,	600.593994,	677.6265923999999,	1962.1951313,	69591.16168373832,	69591.16168373832,	69591.16168373832,	208773.48505121496,	210735.68018251495,	9.373761917505833,	555.4935332214822,	564.867295138988,	1.3552426868683134,	555.4935332214822,	556.8487759083505,	55.43447454692796,	2534.8941753717713,	2590.3286499186993,	37.497489618060385,	3533.034646035733,	3570.5321356537934,	103.6609687693625,	7178.915887850469,	7282.576856619831,	7118.692207069363,	215952.40093906544,	223071.0931461348,	
Conv1_1,	GEMM,	65.9012587,	84.6470587,	0.0,	660.3380774,	810.8863948,	8.0626804,	1.3907943,	0.0,	18.486498599999997,	27.9399733,	4990.712316261682,	4990.712316261682,	4990.712316261682,	14972.136948785046,	15000.076922085045,	0.5019417358771531,	39.83707630073931,	40.339018036616466,	0.056468445286179725,	39.83707630073931,	39.89354474602549,	2.968378824467361,	181.7892858139211,	184.75766463838846,	2.0078977037783337,	253.37067373413313,	255.37857143791146,	5.534686709409028,	514.8341121495329,	520.3687988589419,	844.361054809409,	15486.971060934578,	16331.332115743988,	
Conv2_1,	GEMM,	1031.6009174,	2700.8499935,	0.0,	1320.3851961,	5052.836107,	481.0771769,	202.897368,	600.593994,	677.6265923999999,	1962.1951313,	69591.16168373832,	69591.16168373832,	69591.16168373832,	208773.48505121496,	210735.68018251495,	9.373761917505833,	555.4935332214822,	564.867295138988,	1.3552426868683134,	555.4935332214822,	556.8487759083505,	55.43447454692796,	2534.8941753717713,	2590.3286499186993,	37.497489618060385,	3533.034646035733,	3570.5321356537934,	103.6609687693625,	7178.915887850469,	7282.576856619831,	7118.692207069363,	215952.40093906544,	223071.0931461348,	
Conv1_2,	GEMM,	65.9012587,	84.6470587,	0.0,	660.3380774,	810.8863948,	8.0626804,	1.3907943,	0.0,	18.486498599999997,	27.9399733,	4990.712316261682,	4990.712316261682,	4990.712316261682,	14972.136948785046,	15000.076922085045,	0.5019417358771531,	39.83707630073931,	40.339018036616466,	0.056468445286179725,	39.83707630073931,	39.89354474602549,	2.968378824467361,	181.7892858139211,	184.75766463838846,	2.0078977037783337,	253.37067373413313,	255.37857143791146,	5.534686709409028,	514.8341121495329,	520.3687988589419,	844.361054809409,	15486.971060934578,	16331.332115743988,	
Conv2_2,	GEMM,	1031.6009174,	2700.8499935,	0.0,	1320.3851961,	5052.836107,	481.0771769,	202.897368,	600.593994,	677.6265923999999,	1962.1951313,	69591.16168373832,	69591.16168373832,	69591.16168373832,	208773.48505121496,	210735.68018251495,	9.373761917505833,	555.4935332214822,	564.867295138988,	1.3552426868683134,	555.4935332214822,	556.8487759083505,	55.43447454692796,	2534.8941753717713,	2590.3286499186993,	37.497489618060385,	3533.034646035733,	3570.5321356537934,	103.6609687693625,	7178.915887850469,	7282.576856619831,	7118.692207069363,	215952.40093906544,	223071.0931461348,	
Conv1_3,	GEMM,	65.9012587,	84.6470587,	0.0,	660.3380774,	810.8863948,	8.0626804,	1.3907943,	0.0,	18.486498599999997,	27.9399733,	4990.712316261682,	4990.712316261682,	4990.712316261682,	14972.136948785046,	15000.076922085045,	0.5019417358771531,	39.83707630073931,	40.339018036616466,	0.056468445286179725,	39.83707630073931,	39.89354474602549,	2.968378824467361,	181.7892858139211,	184.75766463838846,	2.0078977037783337,	253.37067373413313,	255.37857143791146,	5.534686709409028,	514.8341121495329,	520.3687988589419,	844.361054809409,	15486.971060934578,	16331.332115743988,	
Conv2_3,	GEMM,	1031.6009174,	2700.8499935,	0.0,	1320.3851961,	5052.836107,	481.0771769,	202.897368,	600.593994,	677.6265923999999,	1962.1951313,	69591.16168373832,	69591.16168373832,	69591.16168373832,	208773.48505121496,	210735.68018251495,	9.373761917505833,	555.4935332214822,	564.867295138988,	1.3552426868683134,	555.4935332214822,	556.8487759083505,	55.43447454692796,	2534.8941753717713,	2590.3286499186993,	37.497489618060385,	3533.034646035733,	3570.5321356537934,	103.6609687693625,	7178.915887850469,	7282.576856619831,	7118.692207069363,	215952.40093906544,	223071.0931461348,	
Conv1_4,	GEMM,	65.9012587,	84.6470587,	0.0,	660.3380774,	810.8863948,	8.0626804,	1.3907943,	0.0,	18.486498599999997,	27.9399733,	4990.712316261682,	4990.712316261682,	4990.712316261682,	14972.136948785046,	15000.076922085045,	0.5019417358771531,	39.83707630073931,	40.339018036616466,	0.056468445286179725,	39.83707630073931,	39.89354474602549,	2.968378824467361,	181.7892858139211,	184.75766463838846,	2.0078977037783337,	253.37067373413313,	255.37857143791146,	5.534686709409028,	514.8341121495329,	520.3687988589419,	844.361054809409,	15486.971060934578,	16331.332115743988,	
Conv2_4,	GEMM,	1031.6009174,	2700.8499935,	0.0,	1320.3851961,	5052.836107,	481.0771769,	202.897368,	600.593994,	677.6265923999999,	1962.1951313,	69591.16168373832,	69591.16168373832,	69591.16168373832,	208773.48505121496,	210735.68018251495,	9.373761917505833,	555.4935332214822,	564.867295138988,	1.3552426868683134,	555.4935332214822,	556.8487759083505,	55.43447454692796,	2534.8941753717713,	2590.3286499186993,	37.497489618060385,	3533.034646035733,	3570.5321356537934,	103.6609687693625,	7178.915887850469,	7282.576856619831,	7118.692207069363,	215952.40093906544,	223071.0931461348,	
Conv1_5,	GEMM,	65.9012587,	84.6470587,	0.0,	660.3380774,	810.8863948,	8.0626804,	1.3907943,	0.0,	18.486498599999997,	27.9399733,	4990.712316261682,	4990.712316261682,	4990.712316261682,	14972.136948785046,	15000.076922085045,	0.5019417358771531,	39.83707630073931,	40.339018036616466,	0.056468445286179725,	39.83707630073931,	39.89354474602549,	2.968378824467361,	181.7892858139211,	184.75766463838846,	2.0078977037783337,	253.37067373413313,	255.37857143791146,	5.534686709409028,	514.8341121495329,	520.3687988589419,	844.361054809409,	15486.971060934578,	16331.332115743988,	
Conv2_5,	GEMM,	1031.6009174,	2700.8499935,	0.0,	1320.3851961,	5052.836107,	481.0771769,	202.897368,	600.593994,	677.6265923999999,	1962.1951313,	69591.16168373832,	69591.16168373832,	69591.16168373832,	208773.48505121496,	210735.68018251495,	9.373761917505833,	555.4935332214822,	564.867295138988,	1.3552426868683134,	555.4935332214822,	556.8487759083505,	55.43447454692796,	2534.8941753717713,	2590.3286499186993,	37.497489618060385,	3533.034646035733,	3570.5321356537934,	103.6609687693625,	7178.915887850469,	7282.576856619831,	7118.692207069363,	215952.40093906544,	223071.0931461348,	
Conv1_6,	GEMM,	65.9012587,	84.6470587,	0.0,	660.3380774,	810.8863948,	8.0626804,	1.3907943,	0.0,	18.486498599999997,	27.9399733,	4990.712316261682,	4990.712316261682,	4990.712316261682,	14972.136948785046,	15000.076922085045,	0.5019417358771531,	39.83707630073931,	40.339018036616466,	0.056468445286179725,	39.83707630073931,	39.89354474602549,	2.968378824467361,	181.7892858139211,	184.75766463838846,	2.0078977037783337,	253.37067373413313,	255.37857143791146,	5.534686709409028,	514.8341121495329,	520.3687988589419,	844.361054809409,	15486.971060934578,	16331.332115743988,	
Conv2_6,	GEMM,	1031.6009174,	2700.8499935,	0.0,	1320.3851961,	5052.836107,	481.0771769,	202.897368,	600.593994,	677.6265923999999,	1962.1951313,	69591.16168373832,	69591.16168373832,	69591.16168373832,	208773.48505121496,	210735.68018251495,	9.373761917505833,	555.4935332214822,	564.867295138988,	1.3552426868683134,	555.4935332214822,	556.8487759083505,	55.43447454692796,	2534.8941753717713,	2590.3286499186993,	37.497489618060385,	3533.034646035733,	3570.5321356537934,	103.6609687693625,	7178.915887850469,	7282.576856619831,	7118.692207069363,	215952.40093906544,	223071.0931461348,	
Conv1_7,	GEMM,	65.9012587,	84.6470587,	0.0,	660.3380774,	810.8863948,	8.0626804,	1.3907943,	0.0,	18.486498599999997,	27.9399733,	4990.712316261682,	4990.712316261682,	4990.712316261682,	14972.136948785046,	15000.076922085045,	0.5019417358771531,	39.83707630073931,	40.339018036616466,	0.056468445286179725,	39.83707630073931,	39.89354474602549,	2.968378824467361,	181.7892858139211,	184.75766463838846,	2.0078977037783337,	253.37067373413313,	255.37857143791146,	5.534686709409028,	514.8341121495329,	520.3687988589419,	844.361054809409,	15486.971060934578,	16331.332115743988,	
